contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDateCalls
SPY241213C00586000,2024-12-12 20:46:51+00:00,586.0,19.59,0.0,0.0,0.0,0.0,61.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00587000,2024-12-12 18:45:34+00:00,587.0,19.6,0.0,0.0,0.0,0.0,50.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00587500,2024-12-12 19:51:56+00:00,587.5,17.69,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00588000,2024-12-12 18:59:00+00:00,588.0,18.15,0.0,0.0,0.0,0.0,17.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00589000,2024-12-12 18:58:43+00:00,589.0,17.17,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00590000,2024-12-12 21:06:00+00:00,590.0,14.43,0.0,0.0,0.0,0.0,119.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00591000,2024-12-12 20:41:41+00:00,591.0,14.36,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00592000,2024-12-12 20:40:25+00:00,592.0,13.29,0.0,0.0,0.0,0.0,64.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00592500,2024-12-12 20:38:02+00:00,592.5,12.95,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00593000,2024-12-12 20:36:50+00:00,593.0,12.52,0.0,0.0,0.0,0.0,23.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00594000,2024-12-12 20:59:32+00:00,594.0,10.9,0.0,0.0,0.0,0.0,130.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00595000,2024-12-12 20:57:47+00:00,595.0,9.84,0.0,0.0,0.0,0.0,213.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00596000,2024-12-12 20:55:26+00:00,596.0,8.85,0.0,0.0,0.0,0.0,90.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00597000,2024-12-12 21:11:16+00:00,597.0,7.42,0.0,0.0,0.0,0.0,170.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00598000,2024-12-12 21:13:01+00:00,598.0,6.41,0.0,0.0,0.0,0.0,919.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00599000,2024-12-12 21:13:35+00:00,599.0,5.52,0.0,0.0,0.0,0.0,374.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00600000,2024-12-12 21:14:16+00:00,600.0,4.61,0.0,0.0,0.0,0.0,1407.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
